sku,link_type,linked_skus
DRX-HL-FL-002,upsell,"DRX-HL-FL-RATTAN,DRX-HL-FL-INDUSTRI"
DRX-HL-FL-002,crosssell,"DRX-HL-SOFA-CURVED,DRX-HL-SOFA-OSL"
DRX-HL-TL-001,related,"DRX-HL-TL-MUSHROOM,DRX-HL-TL-CERAMIC-,DRX-HL-TL-ORIGAMI"
DRX-HL-TL-001,upsell,"DRX-HL-TL-INDUSTRI,DRX-HL-TL-CORDLESS"
DRX-HL-TL-001,crosssell,"DRX-HL-VAS-004,DRX-HL-CT-001"
DRX-HL-VAS-001,related,"DRX-HL-VAS-MINI,DRX-HL-VAS-003,DRX-HL-VAS-005"
DRX-HL-VAS-001,upsell,"DRX-HL-VAS-008,DRX-HL-VAS-006"
DRX-HL-VAS-001,crosssell,"DRX-HL-MIR-ROUND-BR,DRX-HL-WA-BOHEMIAN"
DRX-HL-VAS-002,related,"DRX-HL-VAS-003,DRX-HL-VAS-008,DRX-HL-VAS-BOTTLE-N"
DRX-HL-VAS-002,upsell,"DRX-HL-VAS-HAND-THR,DRX-HL-VAS-GLASS-TA"
DRX-HL-VAS-002,crosssell,"DRX-HL-MIR-FRAMELES,DRX-HL-MIR-ROUND-BR"
DRX-HL-MIR-001,related,"DRX-HL-MIR-WOOD-FRA,DRX-HL-MIR-ARCHED,DRX-HL-MIR-003"
DRX-HL-MIR-001,upsell,"DRX-HL-MIR-FULL-LEN,DRX-HL-MIR-CLUSTER-"
DRX-HL-MIR-001,crosssell,"DRX-HL-WAR-INDUSTRI,DRX-HL-VAS-008"
DRX-HL-WA-001,related,"DRX-HL-WA-ABSTRACT,DRX-HL-WA-TYPOGRAP,DRX-HL-WA-BOHEMIAN"
DRX-HL-WA-001,upsell,"DRX-HL-WA-005,DRX-HL-WA-COASTAL"
DRX-HL-WA-001,crosssell,"DRX-HL-SOFA-MID-CENT,DRX-HL-SOFA-MODULAR-"
DRX-HL-OL-001,related,"DRX-HL-OL-PATH-LIG,DRX-HL-OL-003,DRX-HL-OL-LANTERN"
DRX-HL-OL-001,upsell,"DRX-HL-OL-PILLAR,DRX-HL-OL-007"
DRX-HL-OL-001,crosssell,"DRX-HL-OG-002,DRX-HL-OG-004"
DRX-HL-CT-004,related,"DRX-HL-CT-006,DRX-HL-CT-LIFT-TOP,DRX-HL-CT-003"
DRX-HL-CT-004,upsell,"DRX-HL-CT-MARBLE,DRX-HL-CT-DRUM"
DRX-HL-CT-004,crosssell,"DRX-HL-VAS-GLASS-TA,DRX-HL-TL-GLOBE-SH"
DRX-HL-CT-005,related,"DRX-HL-CT-002,DRX-HL-CT-NESTING,DRX-HL-CT-LIVE-EDG"
DRX-HL-CT-005,upsell,"DRX-HL-CT-HAIRPIN,DRX-HL-CT-MARBLE"
DRX-HL-CT-005,crosssell,"DRX-HL-TL-MARBLE,DRX-HL-SOFA-002"
DRX-HL-CT-006,related,"DRX-HL-CT-STORAGE,DRX-HL-CT-LIVE-EDG,DRX-HL-CT-002"
DRX-HL-CT-006,upsell,"DRX-HL-CT-HAIRPIN,DRX-HL-CT-DRUM"
DRX-HL-CT-006,crosssell,"DRX-HL-VAS-004,DRX-HL-SOFA-TUXEDO"
DRX-HL-NS-003,related,"DRX-HL-NS-009,DRX-HL-NS-MID-CENT,DRX-HL-NS-004"
DRX-HL-NS-003,upsell,"DRX-HL-NS-FLOATING,DRX-HL-NS-ROUND"
DRX-HL-NS-003,crosssell,"DRX-HL-TL-BANKER,DRX-HL-WAR-005"
DRX-HL-NS-004,related,"DRX-HL-NS-003,DRX-HL-NS-TALL,DRX-HL-NS-002"
DRX-HL-NS-004,upsell,"DRX-HL-NS-MODERN-B,DRX-HL-NS-FLOATING"
DRX-HL-NS-004,crosssell,"DRX-HL-BED-MURPHY,DRX-HL-VAS-008"
DRX-HL-NS-005,related,"DRX-HL-NS-007,DRX-HL-NS-GLASS-TO,DRX-HL-NS-001"
DRX-HL-NS-005,upsell,"DRX-HL-NS-TALL,DRX-HL-NS-ROUND"
DRX-HL-NS-005,crosssell,"DRX-HL-BED-003,DRX-HL-BED-MINIMALI"
DRX-HL-WAR-002,related,"DRX-HL-WAR-OPEN,DRX-HL-WAR-SLIDING,DRX-HL-WAR-003"
DRX-HL-WAR-002,upsell,"DRX-HL-WAR-004,DRX-HL-WAR-COMPACT"
DRX-HL-WAR-002,crosssell,"DRX-HL-FL-CONE-SHA,DRX-HL-BED-LOW-PLAT"
DRX-HL-WAR-003,related,"DRX-HL-WAR-004,DRX-HL-WAR-INDUSTRI,DRX-HL-WAR-WHITE-LA"
DRX-HL-WAR-003,upsell,"DRX-HL-WAR-TALL-XL,DRX-HL-WAR-MIRRORED"
DRX-HL-WAR-003,crosssell,"DRX-HL-BED-DAYBED,DRX-HL-FL-001"
DRX-HL-BED-002,related,"DRX-HL-BED-MINIMALI,DRX-HL-BED-004,DRX-HL-BED-PLATFORM"
DRX-HL-BED-002,upsell,"DRX-HL-BED-BOUCLE-U,DRX-HL-BED-INDUSTRI"
DRX-HL-BED-002,crosssell,"DRX-HL-TL-ORIGAMI,DRX-HL-WAR-SLIDING"
DRX-HL-BED-003,related,"DRX-HL-BED-DAYBED,DRX-HL-BED-STORAGE,DRX-HL-BED-4-POSTER"
DRX-HL-BED-003,upsell,"DRX-HL-BED-MURPHY,DRX-HL-BED-BOUCLE-U"
DRX-HL-BED-003,crosssell,"DRX-HL-TL-MUSHROOM,DRX-HL-TL-GLOBE-SH"
DRX-HL-DT-002,related,"DRX-HL-DT-MINIMALI,DRX-HL-DT-BOHEMIAN,DRX-HL-DT-001"
DRX-HL-DT-002,upsell,"DRX-HL-DT-COMPACT-,DRX-HL-DT-INDUSTRI"
DRX-HL-DT-002,crosssell,"DRX-HL-DC-009,DRX-HL-VAS-004"
DRX-HL-DT-003,related,"DRX-HL-DT-002,DRX-HL-DT-COUNTER-,DRX-HL-DT-LIVE-EDG"
DRX-HL-DT-003,upsell,"DRX-HL-DT-GLASS-TO,DRX-HL-DT-COUNTER-"
DRX-HL-DT-003,crosssell,"DRX-HL-DC-CHA,DRX-HL-DC-008"
DRX-HL-DC-002,related,"DRX-HL-DC-007,DRX-HL-DC-001,DRX-HL-DC-TUFTED"
DRX-HL-DC-002,upsell,"DRX-HL-DC-WISHBONE-2,DRX-HL-DC-008"
DRX-HL-DC-002,crosssell,"DRX-HL-DT-005,DRX-HL-PL-RATTAN"
DRX-HL-DC-003,related,"DRX-HL-DC-005,DRX-HL-DC-006,DRX-HL-DC-TUFTED"
DRX-HL-DC-003,upsell,"DRX-HL-DC-WISHBONE-2,DRX-HL-DC-LADDER-B"
DRX-HL-DC-003,crosssell,"DRX-HL-PL-DRUM,DRX-HL-DT-EXTENDIN"
DRX-HL-PL-002,related,"DRX-HL-PL-PLISS,DRX-HL-PL-PAPER-LA,DRX-HL-PL-007"
DRX-HL-PL-002,upsell,"DRX-HL-PL-DRUM,DRX-HL-PL-CONE"
DRX-HL-PL-002,crosssell,"DRX-HL-DT-INDUSTRI,DRX-HL-DT-ROUND-4-"
DRX-HL-PL-003,related,"DRX-HL-PL-004,DRX-HL-PL-LINEAR,DRX-HL-PL-008"
DRX-HL-PL-003,upsell,"DRX-HL-PL-RATTAN,DRX-HL-PL-CONE"
DRX-HL-PL-003,crosssell,"DRX-HL-SOFA-MODULAR-,DRX-HL-SOFA-CURVED"
DRX-HL-FL-003,related,"DRX-HL-FL-001,DRX-HL-FL-TRIPOD,DRX-HL-FL-PLISS"
DRX-HL-FL-003,upsell,"DRX-HL-FL-MULTI-AR,DRX-HL-FL-006"
DRX-HL-FL-003,crosssell,"DRX-HL-WA-PRT,DRX-HL-SOFA-002"
DRX-HL-FL-004,related,"DRX-HL-FL-007,DRX-HL-FL-TORCHIER,DRX-HL-FL-MULTI-AR"
DRX-HL-FL-004,upsell,"DRX-HL-FL-CONE-SHA,DRX-HL-FL-RATTAN"
DRX-HL-FL-004,crosssell,"DRX-HL-SOFA-LOVESEAT,DRX-HL-LC-WISHBONE"
DRX-HL-TL-002,related,"DRX-HL-TL-CYLINDER,DRX-HL-TL-003,DRX-HL-TL-005"
DRX-HL-TL-002,upsell,"DRX-HL-TL-APOTHECA,DRX-HL-TL-CORDLESS"
DRX-HL-TL-002,crosssell,"DRX-HL-VAS-SMOKE-GL,DRX-HL-VAS-SPECKLED"
DRX-HL-TL-003,related,"DRX-HL-TL-002,DRX-HL-TL-006,DRX-HL-TL-CERAMIC-"
DRX-HL-TL-003,upsell,"DRX-HL-TL-MARBLE,DRX-HL-TL-BANKER"
DRX-HL-TL-003,crosssell,"DRX-HL-VAS-002,DRX-HL-CT-DRUM"
DRX-HL-VAS-003,related,"DRX-HL-VAS-001,DRX-HL-VAS-MINI,DRX-HL-VAS-002"
DRX-HL-VAS-003,upsell,"DRX-HL-VAS-006,DRX-HL-VAS-GLASS-TA"
DRX-HL-VAS-003,crosssell,"DRX-HL-MIR-FRAMELES,DRX-HL-MIR-FULL-LEN"
DRX-HL-VAS-004,related,"DRX-HL-VAS-009,DRX-HL-VAS-HAND-THR,DRX-HL-VAS-002"
DRX-HL-VAS-004,upsell,DRX-HL-VAS-SMOKE-GL
DRX-HL-VAS-004,crosssell,"DRX-HL-MIR-005,DRX-HL-WA-001"
DRX-HL-MIR-002,related,"DRX-HL-MIR-SUNBURST,DRX-HL-MIR-ARCHED,DRX-HL-MIR-TABLETOP"
DRX-HL-MIR-002,upsell,"DRX-HL-MIR-FRAMELES,DRX-HL-MIR-DECORATI"
DRX-HL-MIR-002,crosssell,"DRX-HL-VAS-005,DRX-HL-VAS-007"
DRX-HL-MIR-003,related,"DRX-HL-MIR-WOOD-FRA,DRX-HL-MIR-CAPSULE,DRX-HL-MIR-001"
DRX-HL-MIR-003,upsell,"DRX-HL-MIR-SUNBURST,DRX-HL-MIR-005"
DRX-HL-MIR-003,crosssell,"DRX-HL-WAR-WALNUT,DRX-HL-WAR-004"
DRX-HL-WA-002,related,"DRX-HL-WA-001,DRX-HL-WA-JAPANESE,DRX-HL-WA-PRT"
DRX-HL-WA-002,upsell,"DRX-HL-WA-005,DRX-HL-WA-PHOTOGRA"
DRX-HL-WA-002,crosssell,"DRX-HL-BED-MINIMALI,DRX-HL-BED-002"
DRX-HL-WA-003,related,"DRX-HL-WA-COASTAL,DRX-HL-WA-006,DRX-HL-WA-002"
DRX-HL-WA-003,upsell,"DRX-HL-WA-PHOTOGRA,DRX-HL-WA-GEOMETRI"
DRX-HL-WA-003,crosssell,"DRX-HL-MIR-004,DRX-HL-VAS-009"
DRX-HL-OL-002,related,"DRX-HL-OL-PENDANT,DRX-HL-OL-001,DRX-HL-OL-006"
DRX-HL-OL-002,upsell,DRX-HL-OL-SPOTLIGH
DRX-HL-OL-002,crosssell,"DRX-HL-OG-004,DRX-HL-OG-HAMMOCK"
DRX-HL-OL-003,related,"DRX-HL-OL-005,DRX-HL-OL-SOLAR,DRX-HL-OL-004"
DRX-HL-OL-003,upsell,"DRX-HL-OL-007,DRX-HL-OL-002"
DRX-HL-OL-003,crosssell,"DRX-HL-OG-STOOL,DRX-HL-OG-HAMMOCK"
DRX-HL-OL-004,related,"DRX-HL-OL-SOLAR,DRX-HL-OL-BOLLARD,DRX-HL-OL-008"
DRX-HL-OL-004,upsell,"DRX-HL-OL-002,DRX-HL-OL-STEP-LIG"
DRX-HL-OL-004,crosssell,"DRX-HL-OG-008,DRX-HL-OUT-GAR"
DRX-HL-OG-001,related,"DRX-HL-OG-LOUNGER,DRX-HL-OG-005,DRX-HL-OG-008"
DRX-HL-OG-001,upsell,"DRX-HL-OG-SIDE-TAB,DRX-HL-OUT-GAR"
DRX-HL-OG-001,crosssell,"DRX-HL-OL-005,DRX-HL-OL-001"
DRX-HL-OG-002,related,"DRX-HL-OG-COFFEE-T,DRX-HL-OG-BISTRO-S,DRX-HL-OG-004"
DRX-HL-OG-002,upsell,"DRX-HL-OG-LOUNGER,DRX-HL-OG-005"
DRX-HL-OG-002,crosssell,"DRX-HL-OL-PILLAR,DRX-HL-VAS-SQUAT"
DRX-HL-OG-003,related,"DRX-HL-OG-SIDE-TAB,DRX-HL-OUT-GAR,DRX-HL-OG-STOOL"
DRX-HL-OG-003,upsell,"DRX-HL-OG-SUNBED,DRX-HL-OG-HANGING-"
DRX-HL-OG-003,crosssell,"DRX-HL-VAS-004,DRX-HL-OL-PENDANT"
DRX-HL-CT-007,related,"DRX-HL-CT-006,DRX-HL-CT-DRUM,DRX-HL-CT-GLASS-TO"
DRX-HL-CT-007,upsell,"DRX-HL-CT-HAIRPIN,DRX-HL-CT-MARBLE"
DRX-HL-CT-007,crosssell,"DRX-HL-TL-MARBLE,DRX-HL-LC-EGG"
DRX-HL-CT-008,related,"DRX-HL-CT-LIVE-EDG,DRX-HL-CT-001,DRX-HL-CT-003"
DRX-HL-CT-008,upsell,"DRX-HL-CT-007,DRX-HL-CT-INDUSTRI"
DRX-HL-CT-008,crosssell,"DRX-HL-SOFA-COMPACT-,DRX-HL-TL-MARBLE"
DRX-HL-CT-009,related,"DRX-HL-CT-007,DRX-HL-CT-NESTING,DRX-HL-CT-DRUM"
DRX-HL-CT-009,upsell,"DRX-HL-CT-HAIRPIN,DRX-HL-CT-DRUM"
DRX-HL-CT-009,crosssell,"DRX-HL-VAS-004,DRX-HL-LC-SLIPPER"
DRX-HL-LC-002,related,"DRX-HL-LC-COCOON,DRX-HL-LC-WINGBACK,DRX-HL-LC-BARREL"
DRX-HL-LC-002,upsell,"DRX-HL-LC-SAUCER,DRX-HL-LC-READING"
DRX-HL-LC-002,crosssell,"DRX-HL-FL-DRUM-SHA,DRX-HL-VAS-GLASS-TA"
DRX-HL-LC-003,related,"DRX-HL-LC-TUB-CHAI,DRX-HL-LC-002,DRX-HL-LC-EGG"
DRX-HL-LC-003,upsell,"DRX-HL-LC-EAMES-ST,DRX-HL-LC-TULIP"
DRX-HL-LC-003,crosssell,"DRX-HL-FL-GLOBE,DRX-HL-CT-GLASS-TO"
DRX-HL-LC-004,related,"DRX-HL-LC-AAR,DRX-HL-LC-ACCENT,DRX-HL-LC-READING"
DRX-HL-LC-004,upsell,"DRX-HL-LC-PAPASAN,DRX-HL-LC-EAMES-ST"
DRX-HL-LC-004,crosssell,"DRX-HL-SOFA-MID-CENT,DRX-HL-FL-002"
DRX-HL-SOFA-001,related,"DRX-HL-SOFA-003,DRX-HL-SOFA-LAWSON,DRX-HL-SOFA-OSL"
DRX-HL-SOFA-001,upsell,"DRX-HL-SOFA-CABRIOLE,DRX-HL-SOFA-MID-CENT"
DRX-HL-SOFA-001,crosssell,"DRX-HL-WA-WATERCOL,DRX-HL-WA-DRIED-FL"
DRX-HL-SOFA-002,related,"DRX-HL-SOFA-SLEEPER,DRX-HL-SOFA-CAMELBAC,DRX-HL-SOFA-CABRIOLE"
DRX-HL-SOFA-002,upsell,"DRX-HL-SOFA-CURVED,DRX-HL-SOFA-BOUCLE-M"
DRX-HL-SOFA-002,crosssell,"DRX-HL-FL-007,DRX-HL-CT-006"
DRX-HL-NS-006,related,"DRX-HL-NS-MID-CENT,DRX-HL-NS-008,DRX-HL-NS-BOHEMIAN"
DRX-HL-NS-006,upsell,DRX-HL-NS-MODERN-B
DRX-HL-NS-006,crosssell,"DRX-HL-VAS-006,DRX-HL-WAR-MIRRORED"
DRX-HL-NS-007,related,"DRX-HL-NS-TWO-DRAW,DRX-HL-NS-005,DRX-HL-NS-GLASS-TO"
DRX-HL-NS-007,upsell,"DRX-HL-NS-003,DRX-HL-NS-ROUND"
DRX-HL-NS-007,crosssell,"DRX-HL-VAS-SQUAT,DRX-HL-BED-004"
DRX-HL-WAR-004,related,"DRX-HL-WAR-OPEN,DRX-HL-WAR-INDUSTRI,DRX-HL-WAR-MID-CENT"
DRX-HL-WAR-004,upsell,"DRX-HL-WAR-MINIMALI,DRX-HL-WAR-MID-CENT"
DRX-HL-WAR-004,crosssell,"DRX-HL-NS-FLOATING,DRX-HL-NS-001"
DRX-HL-WAR-005,related,"DRX-HL-WAR-CORNER,DRX-HL-WAR-001,DRX-HL-WAR-GLASS-FR"
DRX-HL-WAR-005,upsell,"DRX-HL-WAR-SLIDING,DRX-HL-WAR-MID-CENT"
DRX-HL-WAR-005,crosssell,"DRX-HL-NS-009,DRX-HL-NS-006"
DRX-HL-BED-004,related,"DRX-HL-BED-RATTAN,DRX-HL-BED-STORAGE,DRX-HL-BED-PLATFORM"
DRX-HL-BED-004,upsell,"DRX-HL-BED-DAYBED,DRX-HL-BED-BOUCLE-U"
DRX-HL-BED-004,crosssell,"DRX-HL-NS-004,DRX-HL-WAR-005"
DRX-HL-BED-005,related,"DRX-HL-BED-MINIMALI,DRX-HL-BED-4-POSTER,DRX-HL-BED-CANOPY"
DRX-HL-BED-005,upsell,"DRX-HL-BED-BOUCLE-U,DRX-HL-BED-MURPHY"
DRX-HL-BED-005,crosssell,"DRX-HL-TL-005,DRX-HL-WA-006"
DRX-HL-BED-006,related,"DRX-HL-BED-DAYBED,DRX-HL-BED-BOUCLE-U,DRX-HL-BED-003"
DRX-HL-BED-006,upsell,"DRX-HL-BED-BUNK,DRX-HL-BED-TRUNDLE"
DRX-HL-BED-006,crosssell,"DRX-HL-WAR-003,DRX-HL-WA-WATERCOL"
DRX-HL-NS-008,related,"DRX-HL-NS-MID-CENT,DRX-HL-NS-003,DRX-HL-NS-BOHEMIAN"
DRX-HL-NS-008,upsell,DRX-HL-NS-MODERN-B
DRX-HL-NS-008,crosssell,"DRX-HL-VAS-005,DRX-HL-VAS-001"
DRX-HL-DT-004,related,"DRX-HL-DT-TRESTLE,DRX-HL-DT-EXTENDIN,DRX-HL-DT-MID-CENT"
DRX-HL-DT-004,upsell,"DRX-HL-DT-MINIMALI,DRX-HL-DT-COUNTER-"
DRX-HL-DT-004,crosssell,"DRX-HL-WA-PHOTOGRA,DRX-HL-PL-005"
DRX-HL-DT-005,related,"DRX-HL-DT-EXTENDIN,DRX-HL-DT-001,DRX-HL-DT-LIVE-EDG"
DRX-HL-DT-005,upsell,"DRX-HL-DT-COMPACT-,DRX-HL-DT-INDUSTRI"
DRX-HL-DT-005,crosssell,"DRX-HL-VAS-007,DRX-HL-VAS-SMOKE-GL"
DRX-HL-DT-006,related,"DRX-HL-DT-004,DRX-HL-DT-LONG-REC,DRX-HL-DT-PEDESTAL"
DRX-HL-DT-006,upsell,"DRX-HL-DT-LIVE-EDG,DRX-HL-DT-005"
DRX-HL-DT-006,crosssell,"DRX-HL-PL-DISK,DRX-HL-WA-005"
DRX-HL-DC-004,related,"DRX-HL-DC-007,DRX-HL-DC-WISHBONE,DRX-HL-DC-ROPE-SEA"
DRX-HL-DC-004,upsell,"DRX-HL-DC-009,DRX-HL-DC-006"
DRX-HL-DC-004,crosssell,"DRX-HL-PL-SPUTNIK,DRX-HL-DT-EXTENDIN"
DRX-HL-DC-005,related,"DRX-HL-DC-006,DRX-HL-DC-WISHBONE,DRX-HL-DC-ROPE-SEA"
DRX-HL-DC-005,upsell,"DRX-HL-DC-INDUSTRI,DRX-HL-DC-TULIP"
DRX-HL-DC-005,crosssell,"DRX-HL-PL-PLISS,DRX-HL-PL-INDUSTRI"
DRX-HL-DC-006,related,"DRX-HL-DC-008,DRX-HL-DC-CHA,DRX-HL-DC-CROSS-BA"
DRX-HL-DC-006,upsell,"DRX-HL-DC-WISHBONE-2,DRX-HL-DC-INDUSTRI"
DRX-HL-DC-006,crosssell,"DRX-HL-DT-COUNTER-,DRX-HL-DT-PEDESTAL"
DRX-HL-DC-007,related,"DRX-HL-DC-WISHBONE,DRX-HL-DC-ROPE-SEA,DRX-HL-DC-CHA"
DRX-HL-DC-007,upsell,"DRX-HL-DC-TULIP,DRX-HL-DC-INDUSTRI"
DRX-HL-DC-007,crosssell,"DRX-HL-PL-GLASS-GL,DRX-HL-VAS-004"
DRX-HL-DC-008,related,"DRX-HL-DC-CHA,DRX-HL-DC-CROSS-BA,DRX-HL-DC-FAN-BACK"
DRX-HL-DC-008,upsell,"DRX-HL-DC-WISHBONE-2,DRX-HL-DC-INDUSTRI"
DRX-HL-DC-008,crosssell,"DRX-HL-DT-COUNTER-,DRX-HL-PL-RATTAN"
DRX-HL-PL-004,related,"DRX-HL-PL-PAPER-LA,DRX-HL-PL-INDUSTRI,DRX-HL-PL-BRASS-DO"
DRX-HL-PL-004,upsell,"DRX-HL-PL-002,DRX-HL-PL-CLUSTER"
DRX-HL-PL-004,crosssell,"DRX-HL-WA-004,DRX-HL-DT-COMPACT-"
DRX-HL-PL-005,related,"DRX-HL-PL-CLUSTER,DRX-HL-PL-DISK,DRX-HL-PL-007"
DRX-HL-PL-005,upsell,"DRX-HL-PL-RATTAN,DRX-HL-PL-DRUM"
DRX-HL-PL-005,crosssell,"DRX-HL-DT-003,DRX-HL-DT-MID-CENT"
DRX-HL-PL-006,related,"DRX-HL-PL-CLUSTER,DRX-HL-PL-002,DRX-HL-PL-DISK"
DRX-HL-PL-006,upsell,"DRX-HL-PL-DRUM,DRX-HL-PL-CONE"
DRX-HL-PL-006,crosssell,"DRX-HL-SOFA-LAWSON,DRX-HL-DT-INDUSTRI"
DRX-HL-FL-005,related,"DRX-HL-FL-GLOBE,DRX-HL-FL-ARC,DRX-HL-FL-PLISS"
DRX-HL-FL-005,upsell,"DRX-HL-FL-CONE-SHA,DRX-HL-FL-002"
DRX-HL-FL-005,crosssell,"DRX-HL-LC-EAMES-ST,DRX-HL-WA-002"
DRX-HL-FL-006,related,"DRX-HL-FL-002,DRX-HL-FL-004,DRX-HL-FL-MULTI-AR"
DRX-HL-FL-006,upsell,DRX-HL-FL-INDUSTRI
DRX-HL-FL-006,crosssell,"DRX-HL-LC-SWIVEL,DRX-HL-LC-BARREL"
DRX-HL-TL-004,related,"DRX-HL-TL-CORDLESS,DRX-HL-TL-GLOBE-SH,DRX-HL-TL-002"
DRX-HL-TL-004,upsell,"DRX-HL-TL-BOUCLE-S,DRX-HL-TL-WOOD-BAS"
DRX-HL-TL-004,crosssell,"DRX-HL-CT-010,DRX-HL-NS-009"
DRX-HL-TL-005,related,"DRX-HL-TL-CYLINDER,DRX-HL-TL-ORIGAMI,DRX-HL-TL-MUSHROOM"
DRX-HL-TL-005,upsell,"DRX-HL-TL-APOTHECA,DRX-HL-TL-MARBLE"
DRX-HL-TL-005,crosssell,"DRX-HL-VAS-HAND-THR,DRX-HL-VAS-MINI"
DRX-HL-TL-006,related,"DRX-HL-TL-GLOBE-SH,DRX-HL-TL-002,DRX-HL-TL-CERAMIC-"
DRX-HL-TL-006,upsell,"DRX-HL-TL-INDUSTRI,DRX-HL-TL-APOTHECA"
DRX-HL-TL-006,crosssell,"DRX-HL-CT-009,DRX-HL-NS-GLASS-TO"
DRX-HL-PL-007,related,"DRX-HL-PL-006,DRX-HL-PL-008,DRX-HL-PL-PAPER-LA"
DRX-HL-PL-007,upsell,DRX-HL-PL-DRUM
DRX-HL-PL-007,crosssell,"DRX-HL-WA-001,DRX-HL-DT-MID-CENT"
DRX-HL-FL-007,related,"DRX-HL-FL-READING,DRX-HL-FL-ARC,DRX-HL-FL-002"
DRX-HL-FL-007,upsell,"DRX-HL-FL-RATTAN,DRX-HL-FL-COMPACT"
DRX-HL-FL-007,crosssell,"DRX-HL-LC-TULIP,DRX-HL-SOFA-002"
DRX-HL-VAS-005,related,"DRX-HL-VAS-TALL-CYL,DRX-HL-VAS-GEOMETRI,DRX-HL-VAS-001"
DRX-HL-VAS-005,upsell,"DRX-HL-VAS-008,DRX-HL-VAS-GLASS-TA"
DRX-HL-VAS-005,crosssell,"DRX-HL-WA-WATERCOL,DRX-HL-MIR-005"
DRX-HL-VAS-006,related,"DRX-HL-VAS-GLASS-TA,DRX-HL-VAS-008,DRX-HL-VAS-SPECKLED"
DRX-HL-VAS-006,upsell,"DRX-HL-VAS-HAND-THR,DRX-HL-VAS-GLASS-TA"
DRX-HL-VAS-006,crosssell,"DRX-HL-MIR-ROUND-BL,DRX-HL-MIR-002"
