sku,attribute_set,price,qty,visibility,status,categories,material,style,room,dimensions,weight_capacity,weight,images
DRX-HL-CT-004,furniture,219.00,35,4,1,living/coffee-tables,wood,scandinavian,living,90 x 50 x 40 cm,,14.0,"coffee-table-oslo-002-alt.jpg,coffee-table-oslo-002-scene-living-001.jpg"
DRX-HL-CT-005,furniture,339.00,25,4,1,living/coffee-tables,wood,mid-century,living,130 x 70 x 45 cm,,19.5,"coffee-table-bergen-002-alt.jpg,coffee-table-bergen-002-scene-living-001.jpg"
DRX-HL-CT-006,furniture,269.00,20,4,1,living/coffee-tables,glass,modern,living,110 x 65 x 42 cm,,13.5,"coffee-table-tromso-002-alt.jpg,coffee-table-tromso-002-scene-living-001.jpg"
DRX-HL-NS-003,furniture,159.00,50,4,1,bedroom-dining/nightstands,wood,scandinavian,bedroom,50 x 45 x 60 cm,,8.5,"nightstand-malmo-002-alt.jpg,nightstand-malmo-002-scene-bedroom-001.jpg"
DRX-HL-NS-004,furniture,179.00,40,4,1,bedroom-dining/nightstands,wood,mid-century,bedroom,55 x 45 x 65 cm,,9.0,"nightstand-lund-002-alt.jpg,nightstand-lund-002-scene-bedroom-001.jpg"
DRX-HL-NS-005,furniture,109.00,60,4,1,bedroom-dining/nightstands,wood,modern,bedroom,40 x 35 x 50 cm,,6.5,"nightstand-malmo-003-alt.jpg,nightstand-malmo-003-scene-bedroom-001.jpg"
DRX-HL-WAR-002,furniture,999.00,10,4,1,bedroom-dining/wardrobes,wood,mid-century,bedroom,200 x 60 x 220 cm,,85.0,"wardrobe-goteborg-002-alt.jpg,wardrobe-goteborg-002-scene-bedroom-001.jpg"
DRX-HL-WAR-003,furniture,1199.00,6,4,1,bedroom-dining/wardrobes,wood,modern,bedroom,220 x 65 x 230 cm,,95.0,"wardrobe-goteborg-002.jpg,wardrobe-goteborg-002-scene-bedroom-001.jpg,wardrobe-goteborg-scene-detail-002.jpg"
DRX-HL-BED-002,furniture,749.00,15,4,1,bedroom-dining/beds,wood,scandinavian,bedroom,180 x 200 cm,Max. 220 kg,60.0,"bed-stockholm-002-alt.jpg,bed-stockholm-002-scene-bedroom-001.jpg"
DRX-HL-BED-003,furniture,849.00,12,4,1,bedroom-dining/beds,wood,modern,bedroom,200 x 200 cm,Max. 240 kg,65.0,"bed-stockholm-003-alt.jpg,bed-stockholm-003-scene-bedroom-001.jpg"
DRX-HL-DT-002,furniture,949.00,12,4,1,bedroom-dining/dining-tables,wood,mid-century,dining,200 x 100 x 75 cm,,48.0,"dining-table-reykjavik-002-alt.jpg,dining-table-reykjavik-002-scene-dining-001.jpg"
DRX-HL-DT-003,furniture,1199.00,6,4,1,bedroom-dining/dining-tables,wood,modern,dining,220 x 100 x 76 cm,,56.0,"dining-table-reykjavik-003-alt.jpg,dining-table-reykjavik-003-scene-dining-001.jpg"
DRX-HL-DC-002,furniture,89.00,100,4,1,bedroom-dining/dining-chairs,wood,mid-century,dining,45 x 50 x 85 cm,Max. 120 kg,5.0,"dining-chair-helsinki-002-alt.jpg,dining-chair-helsinki-002-scene-dining-001.jpg"
DRX-HL-DC-003,furniture,109.00,80,4,1,bedroom-dining/dining-chairs,wood,modern,dining,46 x 52 x 86 cm,Max. 130 kg,5.7,"dining-chair-helsinki-003-alt.jpg,dining-chair-helsinki-003-scene-dining-001.jpg"
DRX-HL-PL-002,lighting,229.00,40,4,1,living/pendant-lights,metal,modern,"living,dining",50 cm diameter,,3.0,"pendant-light-espoo-002-alt.jpg,pendant-light-espoo-002-scene-living-001.jpg"
DRX-HL-PL-003,lighting,169.00,60,4,1,living/pendant-lights,metal,industrial,"dining,living",35 cm diameter,,2.2,"pendant-light-espoo-003-alt.jpg,pendant-light-espoo-003-scene-living-001.jpg"
DRX-HL-FL-003,lighting,109.00,60,4,1,living/floor-lamps,metal,modern,"living,bedroom",155 cm height,,4.5,"floor-lamp-stockholm-002-alt.jpg,floor-lamp-stockholm-002-scene-living-001.jpg"
DRX-HL-FL-004,lighting,189.00,40,4,1,living/floor-lamps,metal,mid-century,living,165 cm height,,5.5,"floor-lamp-trondheim-002-alt.jpg,floor-lamp-trondheim-002-scene-living-001.jpg"
DRX-HL-TL-002,lighting,79.00,120,4,1,living/table-lamps,ceramic,scandinavian,"living,bedroom",40 cm height,,2.0,"table-lamp-bergen-002-alt.jpg,table-lamp-bergen-002-scene-living-001.jpg"
DRX-HL-TL-003,lighting,89.00,90,4,1,living/table-lamps,metal,industrial,"living,bedroom",38 cm height,,2.4,"table-lamp-bergen-003-alt.jpg,table-lamp-bergen-003-scene-living-001.jpg"
DRX-HL-VAS-003,decor,34.95,180,4,1,decor-outdoor/vases,ceramic,mid-century,living,28 cm height,,1.0,"vase-copenhagen-002-alt.jpg,vase-copenhagen-002-scene-living-001.jpg"
DRX-HL-VAS-004,decor,49.95,140,4,1,decor-outdoor/vases,glass,modern,"living,dining",35 cm height,,1.4,"vase-tampere-001.jpg,vase-tampere-scene-detail-002.jpg,vase-tampere-scene-living-001.jpg"
DRX-HL-MIR-002,decor,189.00,30,4,1,decor-outdoor/mirrors,metal,mid-century,"living,bedroom",70 x 100 cm,,5.0,"mirror-aalborg-001.jpg,mirror-aalborg-scene-bedroom-002.jpg,mirror-aalborg-scene-hallway-001.jpg"
DRX-HL-MIR-003,decor,129.00,50,4,1,decor-outdoor/mirrors,wood,scandinavian,"bedroom,living",55 x 80 cm,,3.5,"mirror-aalborg-round-001.jpg,mirror-aalborg-scene-bedroom-002.jpg,mirror-aalborg-002-scene-hallway-001.jpg"
DRX-HL-WA-002,decor,99.00,40,4,1,decor-outdoor/wall-art,wood,mid-century,"living,dining",40 x 50 cm,,1.3,"wall-art-trio-002-alt.jpg,wall-art-trio-002-scene-living-001.jpg"
DRX-HL-WA-003,decor,129.00,30,4,1,decor-outdoor/wall-art,wood,modern,living,50 x 60 cm,,1.6,"wall-art-trio-003-alt.jpg,wall-art-trio-003-scene-living-001.jpg"
DRX-HL-OL-002,lighting,149.00,40,4,1,decor-outdoor/outdoor-lighting,metal,industrial,outdoor,200 cm height,,6.5,"outdoor-lamp-skagen-002-alt.jpg,outdoor-lamp-skagen-002-scene-garden-001.jpg"
DRX-HL-OL-003,lighting,89.00,60,4,1,decor-outdoor/outdoor-lighting,metal,scandinavian,outdoor,150 cm height,,4.0,"outdoor-lamp-skagen-003-alt.jpg,outdoor-lamp-skagen-003-scene-garden-001.jpg"
DRX-HL-OL-004,lighting,69.00,80,4,1,decor-outdoor/outdoor-lighting,metal,modern,outdoor,120 cm height,,3.2,"outdoor-lamp-skagen-004-alt.jpg,outdoor-lamp-skagen-004-scene-garden-001.jpg"
DRX-HL-OG-001,furniture,349.00,20,4,1,decor-outdoor/garden-furniture,metal,modern,outdoor,60 x 60 x 75 cm,,8.0,"outdoor-garden-grey-001.jpg,outdoor-garden-scene-evening-002.jpg,outdoor-garden-scene-terrace-001.jpg"
DRX-HL-OG-002,furniture,199.00,40,4,1,decor-outdoor/garden-furniture,metal,modern,outdoor,50 x 50 x 80 cm,Max. 120 kg,6.0,"outdoor-garden-black-001.jpg,outdoor-garden-scene-evening-002.jpg,outdoor-garden-scene-terrace-001.jpg"
DRX-HL-OG-003,furniture,799.00,12,4,1,decor-outdoor/garden-furniture,metal,modern,outdoor,180 x 100 x 75 cm,,22.0,"outdoor-garden-grey-002-alt.jpg,outdoor-garden-grey-002-scene-garden-001.jpg"
DRX-HL-CT-007,furniture,379.00,22,4,1,living/coffee-tables,wood,modern,living,120 x 65 x 42 cm,,17.0,"coffee-table-walnut-001.jpg,,"
DRX-HL-CT-008,furniture,199.00,50,4,1,living/coffee-tables,glass,minimalist,living,90 x 50 x 38 cm,,11.0,"coffee-table-tromso-003-alt.jpg,coffee-table-tromso-003-scene-living-001.jpg"
DRX-HL-CT-009,furniture,449.00,18,4,1,living/coffee-tables,wood,mid-century,living,140 x 75 x 45 cm,,22.0,"coffee-table-bergen-003-alt.jpg,coffee-table-bergen-003-scene-living-001.jpg"
DRX-HL-LC-002,furniture,379.00,28,4,1,living/lounge-chairs,fabric,scandinavian,living,75 x 80 x 90 cm,,16.0,"lounge-aarhus-mid-001.jpg,lounge-aarhus-scene-detail-002.jpg,lounge-aarhus-mid-001-scene-living-001.jpg"
DRX-HL-LC-003,furniture,449.00,22,4,1,living/lounge-chairs,fabric,mid-century,living,78 x 82 x 92 cm,,17.5,"lounge-aarhus-mid-001.jpg,lounge-aarhus-scene-detail-002.jpg,lounge-aarhus-mid-001-scene-living-001.jpg"
DRX-HL-LC-004,furniture,539.00,18,4,1,living/lounge-chairs,leather,modern,living,80 x 85 x 95 cm,,19.0,"lounge-aarhus-mid-001.jpg,lounge-aarhus-scene-detail-002.jpg,lounge-aarhus-mid-001-scene-living-001.jpg"
DRX-HL-SOFA-001,furniture,1499.00,8,4,1,living/sofas-couches,fabric,modern,living,230 x 95 x 85 cm,,78.0,"sofa-cognac-leather-001.jpg,sofa-cognac-leather-001-scene-living-001.jpg,sofa-cognac-leather-001-scene-living-001.jpg"
DRX-HL-SOFA-002,furniture,1799.00,6,4,1,living/sofas-couches,fabric,mid-century,living,250 x 100 x 88 cm,,85.0,"sofa-cognac-leather-001.jpg,sofa-cognac-leather-001-scene-living-001.jpg,sofa-cognac-leather-001-scene-living-001.jpg"
DRX-HL-NS-006,furniture,199.00,35,4,1,bedroom-dining/nightstands,wood,mid-century,bedroom,55 x 50 x 65 cm,,9.5,"nightstand-malmo-004-alt.jpg,nightstand-malmo-004-scene-bedroom-001.jpg"
DRX-HL-NS-007,furniture,89.00,70,4,1,bedroom-dining/nightstands,wood,minimalist,bedroom,40 x 35 x 50 cm,,5.5,"nightstand-lund-003-alt.jpg,nightstand-lund-003-scene-bedroom-001.jpg"
DRX-HL-WAR-004,furniture,1499.00,5,4,1,bedroom-dining/wardrobes,wood,modern,bedroom,240 x 65 x 240 cm,,110.0,"wardrobe-goteborg-002-002-alt.jpg,wardrobe-goteborg-002-002-scene-bedroom-001.jpg"
DRX-HL-WAR-005,furniture,699.00,12,4,1,bedroom-dining/wardrobes,wood,minimalist,bedroom,160 x 55 x 200 cm,,65.0,"wardrobe-goteborg-002-003-alt.jpg,wardrobe-goteborg-002-003-scene-bedroom-001.jpg"
DRX-HL-BED-004,furniture,549.00,20,4,1,bedroom-dining/beds,wood,minimalist,bedroom,140 x 200 cm,Max. 180 kg,48.0,"bed-stockholm-002.jpg,bed-stockholm-002-scene-bedroom-001.jpg,bed-stockholm-scene-detail-002.jpg"
DRX-HL-BED-005,furniture,949.00,8,4,1,bedroom-dining/beds,wood,mid-century,bedroom,180 x 200 cm,Max. 240 kg,70.0,"bed-stockholm-002.jpg,bed-stockholm-002-scene-bedroom-001.jpg,bed-stockholm-scene-detail-002.jpg"
DRX-HL-BED-006,furniture,1199.00,5,4,1,bedroom-dining/beds,wood,modern,bedroom,200 x 220 cm,Max. 280 kg,80.0,"bed-stockholm-002.jpg,bed-stockholm-002-scene-bedroom-001.jpg,bed-stockholm-scene-detail-002.jpg"
DRX-HL-NS-008,furniture,219.00,30,4,1,bedroom-dining/nightstands,wood,modern,bedroom,60 x 50 x 70 cm,,10.0,"nightstand-lund-004-alt.jpg,nightstand-lund-004-scene-bedroom-001.jpg"
DRX-HL-DT-004,furniture,649.00,20,4,1,bedroom-dining/dining-tables,wood,minimalist,dining,160 x 90 x 75 cm,,38.0,"dining-table-reykjavik-002.jpg,dining-table-reykjavik-scene-detail-002.jpg,dining-table-reykjavik-002-scene-dining-001.jpg"
DRX-HL-DT-005,furniture,899.00,14,4,1,bedroom-dining/dining-tables,wood,industrial,dining,180 x 95 x 76 cm,,45.0,"dining-table-reykjavik-002.jpg,dining-table-reykjavik-scene-detail-002.jpg,dining-table-reykjavik-002-scene-dining-001.jpg"
DRX-HL-DT-006,furniture,549.00,25,4,1,bedroom-dining/dining-tables,wood,scandinavian,dining,160 x 85 x 75 cm,,36.0,"dining-table-reykjavik-002.jpg,dining-table-reykjavik-scene-detail-002.jpg,dining-table-reykjavik-002-scene-dining-001.jpg"
DRX-HL-DC-004,furniture,79.00,200,4,1,bedroom-dining/dining-chairs,wood,minimalist,dining,44 x 48 x 80 cm,Max. 110 kg,4.5,"dining-chair-helsinki-004-alt.jpg,dining-chair-helsinki-004-scene-dining-001.jpg"
DRX-HL-DC-005,furniture,119.00,120,4,1,bedroom-dining/dining-chairs,wood,industrial,dining,47 x 51 x 87 cm,Max. 130 kg,6.0,"dining-chair-helsinki-002.jpg,dining-chair-helsinki-scene-detail-002.jpg,dining-chair-helsinki-002-scene-dining-001.jpg"
DRX-HL-DC-006,furniture,139.00,90,4,1,bedroom-dining/dining-chairs,fabric,modern,dining,46 x 50 x 86 cm,Max. 130 kg,5.8,"dining-chair-helsinki-002-002-alt.jpg,dining-chair-helsinki-002-002-scene-dining-001.jpg"
DRX-HL-DC-007,furniture,99.00,150,4,1,bedroom-dining/dining-chairs,wood,mid-century,dining,45 x 49 x 84 cm,Max. 120 kg,5.2,"dining-chair-helsinki-002-003-alt.jpg,dining-chair-helsinki-002-003-scene-dining-001.jpg"
DRX-HL-DC-008,furniture,159.00,70,4,1,bedroom-dining/dining-chairs,fabric,scandinavian,dining,47 x 52 x 88 cm,Max. 130 kg,6.2,"dining-chair-helsinki-002-004-alt.jpg,dining-chair-helsinki-002-004-scene-dining-001.jpg"
DRX-HL-PL-004,lighting,139.00,60,4,1,living/pendant-lights,metal,minimalist,"living,dining",30 cm diameter,,1.8,"pendant-light-espoo-002.jpg,pendant-light-espoo-scene-detail-002.jpg,pendant-light-espoo-002-scene-dining-001.jpg"
DRX-HL-PL-005,lighting,299.00,25,4,1,living/pendant-lights,metal,mid-century,"living,dining",60 cm diameter,,4.0,"pendant-light-espoo-002-002-alt.jpg,pendant-light-espoo-002-002-scene-living-001.jpg"
DRX-HL-PL-006,lighting,199.00,40,4,1,living/pendant-lights,glass,scandinavian,dining,40 cm diameter,,2.5,"pendant-light-espoo-002-003-alt.jpg,pendant-light-espoo-002-003-scene-living-001.jpg"
DRX-HL-FL-005,lighting,129.00,50,4,1,living/floor-lamps,metal,minimalist,"living,bedroom",150 cm height,,4.0,"floor-lamp-stockholm-003-alt.jpg,floor-lamp-stockholm-003-scene-living-001.jpg"
DRX-HL-FL-006,lighting,249.00,30,4,1,living/floor-lamps,metal,industrial,living,180 cm height,,6.5,"floor-lamp-trondheim-003-alt.jpg,floor-lamp-trondheim-003-scene-living-001.jpg"
DRX-HL-TL-004,lighting,109.00,70,4,1,living/table-lamps,ceramic,mid-century,"living,bedroom",42 cm height,,2.3,"table-lamp-bergen-002.jpg,table-lamp-bergen-002-scene-living-001.jpg,table-lamp-bergen-scene-detail-002.jpg"
DRX-HL-TL-005,lighting,59.00,120,4,1,living/table-lamps,metal,minimalist,"living,bedroom",32 cm height,,1.5,"table-lamp-bergen-002.jpg,table-lamp-bergen-002-scene-living-001.jpg,table-lamp-bergen-scene-detail-002.jpg"
DRX-HL-TL-006,lighting,79.00,90,4,1,living/table-lamps,ceramic,modern,"living,bedroom",36 cm height,,1.9,"table-lamp-bergen-002.jpg,table-lamp-bergen-002-scene-living-001.jpg,table-lamp-bergen-scene-detail-002.jpg"
DRX-HL-PL-007,lighting,249.00,30,4,1,living/pendant-lights,metal,industrial,"dining,living",45 cm diameter,,3.5,"pendant-light-espoo-002-004-alt.jpg,pendant-light-espoo-002-004-scene-living-001.jpg"
DRX-HL-FL-007,lighting,189.00,40,4,1,living/floor-lamps,metal,modern,"living,bedroom",160 cm height,,5.0,"floor-lamp-stockholm-004-alt.jpg,floor-lamp-stockholm-004-scene-living-001.jpg"
DRX-HL-VAS-005,decor,24.95,250,4,1,decor-outdoor/vases,ceramic,minimalist,living,20 cm height,,0.7,"vase-copenhagen-003-alt.jpg,vase-copenhagen-003-scene-living-001.jpg"
DRX-HL-VAS-006,decor,59.95,120,4,1,decor-outdoor/vases,glass,mid-century,"living,dining",40 cm height,,1.8,"vase-terracotta-001.jpg,vase-tampere-scene-detail-002.jpg,vase-tampere-scene-living-001.jpg"
DRX-HL-VAS-007,decor,19.95,300,4,1,decor-outdoor/vases,ceramic,scandinavian,living,15 cm height,,0.5,"vase-copenhagen-004-alt.jpg,vase-copenhagen-004-scene-living-001.jpg"
DRX-HL-MIR-004,decor,79.00,60,4,1,decor-outdoor/mirrors,metal,minimalist,"bedroom,living",40 x 60 cm,,2.5,"mirror-aalborg-round-002-alt.jpg,mirror-aalborg-round-002-scene-living-001.jpg"
DRX-HL-MIR-005,decor,249.00,20,4,1,decor-outdoor/mirrors,metal,industrial,"living,bedroom",80 x 120 cm,,6.5,"mirror-aalborg-round-003-alt.jpg,mirror-aalborg-round-003-scene-living-001.jpg"
DRX-HL-WA-004,decor,69.00,60,4,1,decor-outdoor/wall-art,wood,minimalist,"living,bedroom",30 x 40 cm,,0.9,"wall-art-trio-002.jpg,wall-art-trio-scene-detail-002.jpg,wall-art-trio-scene-living-001.jpg"
DRX-HL-WA-005,decor,149.00,25,4,1,decor-outdoor/wall-art,wood,industrial,"living,dining",60 x 80 cm,,2.2,"wall-art-trio-002.jpg,wall-art-trio-scene-detail-002.jpg,wall-art-trio-scene-living-001.jpg"
DRX-HL-WA-006,decor,109.00,40,4,1,decor-outdoor/wall-art,wood,scandinavian,living,50 x 70 cm,,1.5,"wall-art-trio-002.jpg,wall-art-trio-scene-detail-002.jpg,wall-art-trio-scene-living-001.jpg"
DRX-HL-VAS-008,decor,44.95,150,4,1,decor-outdoor/vases,ceramic,modern,living,32 cm height,,1.3,"vase-terracotta-001.jpg,vase-tampere-scene-detail-002.jpg,vase-tampere-scene-living-001.jpg"
DRX-HL-OL-005,lighting,99.00,50,4,1,decor-outdoor/outdoor-lighting,metal,minimalist,outdoor,140 cm height,,3.5,"outdoor-lamp-skagen-002.jpg,outdoor-lamp-skagen-scene-detail-002.jpg,outdoor-lamp-skagen-002-scene-garden-001.jpg"
DRX-HL-OL-006,lighting,169.00,35,4,1,decor-outdoor/outdoor-lighting,metal,mid-century,outdoor,170 cm height,,5.0,"outdoor-lamp-skagen-002-002-alt.jpg,outdoor-lamp-skagen-002-002-scene-garden-001.jpg"
DRX-HL-OL-007,lighting,199.00,25,4,1,decor-outdoor/outdoor-lighting,metal,industrial,outdoor,210 cm height,,7.0,"outdoor-lamp-skagen-002-003-alt.jpg,outdoor-lamp-skagen-002-003-scene-garden-001.jpg"
DRX-HL-OG-004,furniture,249.00,30,4,1,decor-outdoor/garden-furniture,metal,minimalist,outdoor,50 x 50 x 75 cm,Max. 100 kg,5.5,"outdoor-garden-grey-003-alt.jpg,outdoor-garden-grey-003-scene-garden-001.jpg"
DRX-HL-OG-005,furniture,449.00,20,4,1,decor-outdoor/garden-furniture,metal,mid-century,outdoor,120 x 60 x 75 cm,Max. 200 kg,12.0,"outdoor-garden-black-001.jpg,outdoor-garden-scene-evening-002.jpg,outdoor-garden-scene-terrace-001.jpg"
DRX-HL-OG-006,furniture,149.00,50,4,1,decor-outdoor/garden-furniture,metal,modern,outdoor,40 x 40 x 70 cm,Max. 100 kg,4.0,"outdoor-garden-grey-004-alt.jpg,outdoor-garden-grey-004-scene-garden-001.jpg"
DRX-HL-OG-007,furniture,599.00,15,4,1,decor-outdoor/garden-furniture,metal,industrial,outdoor,160 x 80 x 75 cm,,18.0,"outdoor-garden-black-001.jpg,outdoor-garden-scene-evening-002.jpg,outdoor-garden-scene-terrace-001.jpg"
DRX-HL-OG-008,furniture,329.00,25,4,1,decor-outdoor/garden-furniture,metal,scandinavian,outdoor,90 x 60 x 75 cm,Max. 150 kg,9.0,"outdoor-garden-grey-005-alt.jpg,outdoor-garden-grey-005-scene-garden-001.jpg"
DRX-HL-OL-008,lighting,49.00,100,4,1,decor-outdoor/outdoor-lighting,metal,minimalist,outdoor,90 cm height,,2.0,"outdoor-lamp-skagen-002-004-alt.jpg,outdoor-lamp-skagen-002-004-scene-garden-001.jpg"
DRX-HL-PL-008,lighting,219.00,35,4,1,living/pendant-lights,metal,modern,"dining,living",35 cm diameter,,2.0,"pendant-light-helsinki-001.jpg,pendant-light-helsinki-scene-dining-001.jpg,pendant-light-helsinki-scene-detail-002.jpg"
DRX-HL-FL-008,lighting,159.00,50,4,1,living/floor-lamps,metal,scandinavian,"living,bedroom",155 cm height,,4.5,"floor-lamp-malmo-001.jpg,floor-lamp-malmo-scene-living-001.jpg,floor-lamp-malmo-scene-detail-002.jpg"
DRX-HL-TL-007,lighting,119.00,80,4,1,living/table-lamps,fabric,mid-century,"living,bedroom",50 cm height,,2.5,"table-lamp-aarhus-001.jpg,table-lamp-aarhus-scene-bedroom-001.jpg,table-lamp-aarhus-scene-detail-002.jpg"
DRX-HL-DC-009,furniture,169.00,60,4,1,bedroom-dining/dining-chairs,wood,scandinavian,dining,45 x 50 x 85 cm,Max. 130 kg,5.5,"dining-chair-bergen-001.jpg,dining-chair-bergen-scene-dining-001.jpg,dining-chair-bergen-scene-detail-002.jpg"
DRX-HL-SOFA-003,furniture,1299.00,10,4,1,living/sofas-couches,fabric,modern,living,200 x 90 x 85 cm,,65.0,"sofa-stockholm-001.jpg,sofa-stockholm-scene-living-001.jpg,sofa-stockholm-scene-detail-002.jpg"
DRX-HL-CT-010,furniture,289.00,30,4,1,living/coffee-tables,metal,modern,living,"90 cm diameter, 38 cm tall",,12.0,"coffee-table-aalborg-001.jpg,coffee-table-aalborg-scene-living-001.jpg,coffee-table-aalborg-scene-detail-002.jpg"
DRX-HL-NS-009,furniture,169.00,40,4,1,bedroom-dining/nightstands,wood,scandinavian,bedroom,50 x 40 x 60 cm,,8.5,"nightstand-trondheim-001.jpg,nightstand-trondheim-scene-bedroom-001.jpg,nightstand-trondheim-scene-detail-002.jpg"
DRX-HL-VAS-009,decor,54.95,90,4,1,decor-outdoor/vases,ceramic,scandinavian,living,35 cm height,,1.4,"vase-aarhus-001.jpg,vase-aarhus-scene-living-001.jpg,vase-aarhus-scene-detail-002.jpg"
